2020-11-05 15:11:31,404, INFO, 11489, benteng_2, weibo, read 415 fresh data
2020-11-05 15:17:06,307, INFO, 11532, benteng_2, weibo, read 418 fresh data
2020-11-05 15:18:30,284, INFO, 11579, benteng_2, weibo, read 418 fresh data
2020-11-05 15:19:00,751, INFO, 11604, benteng_2, weibo, read 418 fresh data
2020-11-05 16:35:47,118, INFO, 11972, benteng_2, weibo, read 588 fresh data
2020-11-06 21:09:38,916, INFO, 13169, benteng_2, weibo, read 83 fresh data
2020-11-06 21:10:02,437, INFO, 13180, benteng_2, weibo, read 103 fresh data
2020-11-07 23:14:22,556, INFO, 13559, benteng_2, weibo, read 588 fresh data
2020-11-08 08:57:24,715, INFO, 13970, benteng_2, weibo, read 600 fresh data
2020-11-08 09:22:12,654, INFO, 14030, benteng_2, weibo, read 605 fresh data
2020-11-09 09:24:36,827, INFO, 14123, benteng_2, weibo, read 653 fresh data
2020-11-09 09:40:11,683, INFO, 14236, benteng_2, weibo, read 695 fresh data
2020-11-09 09:51:47,049, INFO, 14377, benteng_2, weibo, read 641 fresh data
2020-11-09 17:18:06,025, INFO, 17548, benteng_2, weibo, read 458 fresh data
2020-11-09 17:26:39,246, INFO, 17588, benteng_2, weibo, read 857 fresh data
2020-11-09 17:27:54,449, INFO, 17601, benteng_2, weibo, read 857 fresh data
2020-11-09 17:28:49,802, INFO, 17610, benteng_2, weibo, read 857 fresh data
2020-11-09 17:29:05,632, INFO, 17618, benteng_2, weibo, read 857 fresh data
2020-11-09 18:53:06,572, INFO, 18236, benteng_2, weibo, read 857 fresh data
2020-11-09 18:53:24,130, INFO, 18243, benteng_2, weibo, read 857 fresh data
2020-11-09 19:12:14,146, INFO, 18471, benteng_2, weibo, read 857 fresh data
2020-11-09 19:14:28,545, INFO, 18498, benteng_2, weibo, read 857 fresh data
2020-11-09 19:25:22,157, INFO, 18555, benteng_2, weibo, read 857 fresh data
2020-11-09 23:52:33,964, INFO, 18846, benteng_2, weibo, read 934 fresh data
